64 1 0 120.399786
64 1 25 116.943008
64 1 50 115.123633
64 1 75 112.703772
64 2 0 57.039133
64 2 25 55.042178
64 2 50 52.988778
64 2 75 50.613125
64 4 0 28.674156
64 4 25 27.639940
64 4 50 26.567638
64 4 75 25.513091
64 8 0 14.587537
64 8 25 13.999763
64 8 50 13.521395
64 8 75 12.882534
64 16 0 7.371191
64 16 25 7.182013
64 16 50 6.884716
64 16 75 6.662864
64 32 0 4.158686
64 32 25 4.124524
64 32 50 4.248914
64 32 75 4.329550
64 64 0 2.341374
64 64 25 2.390131
64 64 50 2.449420
64 64 75 2.510587
64 128 0 1.358241
64 128 25 1.393924
64 128 50 1.430185
64 128 75 1.467485
32 1 50 148.949649
32 2 50 72.206836
32 4 50 36.146705
32 8 50 18.150050
32 16 50 9.121414
32 32 50 4.657599
32 64 50 2.674449
32 128 50 1.718581
